Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference,Normalized Capacity,Project Score,Household_Income,Environmental Score,Social Score
2024-12-11,OREC,Attentive Energy One,ORECRFP22-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,"TotalEnergies, Rise Light & Power, and Corio Generation",96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,https://www.boem.gov/renewable-energy/state-activities/attentive-energy-ocs-0538,,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,1404.0,1404.0,201901.7620817844,157734.43022315297,5656554.0,3769500.0,1275.0,,1.0,100.0,86129.0,100.0,10
2024-12-11,OREC,Excelsior Wind A,ORECRFP22-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,Vineyward Offshore (Copenhagen Infrastructure Partners) (CIP),96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,https://www.boem.gov/renewable-energy/state-activities/vineyard-mid-atlantic-ocs-0544,,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,1314.0,1314.0,201901.7620817844,157734.43022315297,5201292.0,3769500.0,1275.0,,0.9358974358974359,93.58974358974359,50285.0,93.58974358974359,45
2024-12-11,OREC,Community Offshore Wind 1,ORECRFP22-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,RWE Offshore Renewables and National Grid Ventures,96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,https://www.boem.gov/renewable-energy/state-activities/community-offshore-wind-ocs-0539,,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,1314.0,1314.0,201901.7620817844,157734.43022315297,5449329.0,3769500.0,1275.0,,0.9358974358974359,93.58974358974359,111205.0,93.58974358974359,5
2024-12-11,OREC,Empire Wind 2,ORECRFP20-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,Equinor Wind US LLC,96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-T-0346&CaseSearch=Search,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,1260.0,1260.0,201901.7620817844,157734.43022315297,5765100.0,3769500.0,1275.0,,0.8974358974358975,89.74358974358975,115161.0,89.74358974358975,5
2024-12-11,OREC,Beacon Wind,ORECRFP20-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,Equinor Wind US LLC,96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=68175,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,1230.0,1230.0,201901.7620817844,157734.43022315297,6018100.0,3769500.0,1275.0,,0.8760683760683761,87.6068376068376,72329.0,87.6068376068376,20
2024-12-11,OREC,Sunrise Wind,ORECRFP23-1,,18.778347826086957,146.0,,,Offshore Wind,New,,,Orsted A/S and Eversource Energy,96.13333333333334,75.42857142857143,New York City,,887.891719745223,Article 7,https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/sunrise-wind-farm,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-T-0617,,,,,Under Development,2012.0689655172414,2026.0,25.0,924.0,89.85276119402985,201901.7620817844,157734.43022315297,4115749.0,4017000.0,1275.0,,0.6581196581196581,65.8119658119658,82811.0,65.8119658119658,10
2024-12-11,OREC,Sunrise Wind,ORECRFP18-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,Orsted A/S and Eversource Energy,96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,https://www.permits.performance.gov/permitting-project/sunrise-wind-farm,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-T-0617,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,924.0,924.0,201901.7620817844,157734.43022315297,4419800.0,3769500.0,1275.0,,0.6581196581196581,65.8119658119658,67712.0,65.8119658119658,30
2024-12-11,OREC,Empire Wind,ORECRFP18-1,,18.778347826086957,76.38644628099173,,,Offshore Wind,New,,,Equinor Wind US LLC,96.13333333333334,75.42857142857143,,,887.891719745223,Article 7,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=65825&MNO=21-T-0366,,,,,Cancelled,2012.0689655172414,2017.8164556962026,25.0,816.0,816.0,201901.7620817844,157734.43022315297,4550000.0,3769500.0,1275.0,,0.5811965811965812,58.119658119658126,71775.0,58.119658119658126,20
2024-12-11,OREC,Empire Wind 1,ORECRFP23-1,,18.778347826086957,155.0,,,Offshore Wind,New,,,Equinor Wind US LLC,96.13333333333334,75.42857142857143,Long Island,,887.891719745223,Article 7,https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=65825&MNO=21-T-0366,,,,,Under Development,2012.0689655172414,2026.0,25.0,810.0,89.85276119402985,201901.7620817844,157734.43022315297,3678847.0,3522000.0,1275.0,,0.576923076923077,57.6923076923077,39317.0,57.6923076923077,75
2024-12-11,Tier 1,Cider Solar Farm,RESRFP20-1,,18.778347826086957,52.4,Yes,,Solar,New,,Hecate Energy Cider Solar LLC,Hecate Energy,96.13333333333334,75.42857142857143,West,,811.0,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01108,,14058,Genesee,NY,Finger Lakes,Cancelled,2012.0689655172414,2017.8164556962026,20.0,500.0,500.0,928560.0,1114272.0,4983863.444444444,3769500.0,1275.0,POINT (-78.18627 43.0822),0.3561253561253561,35.61253561253561,184251.0,35.61253561253561,5
